CustomerKey,WWICustomerID,Customer,BillToCustomer,Category,BuyingGroup,PrimaryContact,PostalCode,ValidFrom,ValidTo,LineageKey
0,0,Unknown,N/A,N/A,N/A,N/A,N/A,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,0
234,433,"Wingtip Toys (Balko, OK)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Adirake Saenamuang,90584,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
235,434,"Wingtip Toys (Lime Lake, NY)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Tarja Penttila,90667,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
236,435,"Wingtip Toys (Teutopolis, IL)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Devendranath Huq,90269,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
237,436,"Wingtip Toys (Gargatha, VA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Enes Olsson,90752,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
238,437,"Wingtip Toys (Cadogan, PA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Vanja Grgic,90357,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
239,438,"Wingtip Toys (Lucasville, OH)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Dayaram Mishra,90391,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
240,439,"Wingtip Toys (Cylon, WI)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Mina Omidzadeh,90266,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
241,440,"Wingtip Toys (Asher, OK)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Kadir Usenuly,90683,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
242,441,"Wingtip Toys (Keosauqua, IA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Kajsa Jakobsson,90281,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
243,442,"Wingtip Toys (Homer City, PA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Rahul Ghate,90713,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
244,443,"Wingtip Toys (Berville, MI)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Lien Banh,90628,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
245,444,"Wingtip Toys (Tea, SD)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Divyendu Chakraborty,90641,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
246,445,"Wingtip Toys (Dacono, CO)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,An Dung Ngo,90289,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
247,446,"Wingtip Toys (Saint Landry, LA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Chetana Kamath,90033,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
248,447,"Wingtip Toys (Coin, IA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Premwadee Saowaluk,90458,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
249,448,"Wingtip Toys (Salt Wells, NV)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Jae-Hwa Min,90058,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
250,449,"Wingtip Toys (Delray, WV)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Catalina Nechita,90317,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
251,450,"Wingtip Toys (Mount Summit, IN)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Constanza Laureano,90142,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
252,451,"Wingtip Toys (Smoot, WY)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Aakriti Bhamidipati,90071,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
253,452,"Wingtip Toys (Lake Davis, CA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Himadri PrabhupÄda,90719,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
254,453,"Wingtip Toys (Stanardsville, VA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Bryan Helms,90739,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
255,454,"Wingtip Toys (Corcovado, PR)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Harri Kask,90498,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
256,455,"Wingtip Toys (Taft Heights, CA)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Ilse Sandell,90304,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
257,456,"Wingtip Toys (West Hempstead, NY)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Subhash Matondkar,90799,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
258,457,"Wingtip Toys (Portales, NM)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Eesvaraavu Ankitham,90304,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
259,458,"Wingtip Toys (Coker, AL)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Miguel Paez,90364,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
260,459,"Wingtip Toys (Haydenville, OH)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Tobias Gruber,90519,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
261,460,"Wingtip Toys (Mayhill, NM)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Daniela Dumina,90741,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
262,461,"Wingtip Toys (Vair, TX)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Ganesh Mukherjee,90707,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
263,462,"Wingtip Toys (Crossroads, NM)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Avanti Nishad,90068,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
264,463,"Wingtip Toys (Cowlington, OK)",Wingtip Toys (Head Office),Novelty Shop,Wingtip Toys,Daedeepya Thota,90524,2013-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,2
